,campaign_link,category
161,https://www.gofundme.com//f/in-memory-of-tracy-zeigfinger?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
162,https://www.gofundme.com//f/help-chris-lukens-fight-laryngeal-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
163,https://www.gofundme.com//f/brianpjohnston-heart-fundraiser?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
164,https://www.gofundme.com//f/help-jenny-and-dave-overcome-tough-challenges?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
165,https://www.gofundme.com//f/aid-renees-journey-cancer-treatment-and-stability?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
166,https://www.gofundme.com//f/support-thomas-recovery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
167,https://www.gofundme.com//f/support-willie-roy-jrs-lifesaving-surgery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
168,https://www.gofundme.com//f/help-bobbi-and-her-kids-through-tough-times?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
169,https://www.gofundme.com//f/eb736-support-moms-journey-to-recovery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
170,https://www.gofundme.com//f/support-carlos-in-his-vision-recovery-journey?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
171,https://www.gofundme.com//f/race-for-chase-support-chases-road-to-recovery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
172,https://www.gofundme.com//f/join-us-in-supporting-sam-hodous-als-journey?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
173,https://www.gofundme.com//f/support-callum-connachers-medical-recovery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
174,https://www.gofundme.com//f/support-mitch-and-loris-healing-journey?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
175,https://www.gofundme.com//f/support-tracis-battle-against-lymphoma?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
176,https://www.gofundme.com//f/donate-to-chases-healing-journey-chasestrong?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
177,https://www.gofundme.com//f/HelpGufa?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
178,https://www.gofundme.com//f/donate-to-fund-paxtons-critical-gene-therapy?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
179,https://www.gofundme.com//f/scfthu-support-anthonys-recovery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
180,https://www.gofundme.com//f/join-us-in-supporting-ian-and-his-family?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
181,https://www.gofundme.com//f/help-empower-stacy-on-her-path-to-wellness?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
182,https://www.gofundme.com//f/support-jds-recovery-after-lightning-strike?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
183,https://www.gofundme.com//f/support-michael-coughlin-in-his-fight-against-stage-4-appe?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
184,https://www.gofundme.com//f/help-support-rikki-through-his-medical-crisis?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
185,https://www.gofundme.com//f/support-violets-fight-against-tumor?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
186,https://www.gofundme.com//f/aid-ponchos-recovery-and-future-care-needs?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
187,https://www.gofundme.com//f/support-josh-doyles-recovery-and-family?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
188,https://www.gofundme.com//f/help-with-robins-fabry-disease-treatment?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
189,https://www.gofundme.com//f/support-alfred-olins-battle-against-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
190,https://www.gofundme.com//f/tiff-eve-fundraiser?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
191,https://www.gofundme.com//f/please-help-the-cirillo-family-in-their-time-of-need?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
192,https://www.gofundme.com//f/4kpvr-help-jason-kick-cancers-butt?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
193,https://www.gofundme.com//f/support-theresas-battle-against-pancreatic-cancer?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
194,https://www.gofundme.com//f/support-sylvies-fight-against-leukemia?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
195,https://www.gofundme.com//f/support-for-sebastian-and-his-family?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
196,https://www.gofundme.com//f/kallay-family-fund?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
197,https://www.gofundme.com//f/dawsons-diagnosis-with-craniosynostosis?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
198,https://www.gofundme.com//f/supportunclejack?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
199,https://www.gofundme.com//f/support-our-little-miracle-gios-road-to-recovery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
200,https://www.gofundme.com//f/support-for-our-beloved-security-worker-in-recover?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
201,https://www.gofundme.com//f/supporting-baileys-continued-fight?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
202,https://www.gofundme.com//f/help-beth-irungu-and-her-family-in-crisis?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
203,https://www.gofundme.com//f/support-to-rubi-and-family?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
204,https://www.gofundme.com//f/2awn6k-support-ians-long-road-to-recovery?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
205,https://www.gofundme.com//f/urgent-help-for-baylees-medical-expenses?qid=176a246d835e044d8fac5c67078d9135,medical-fundraiser
