image_url,gender,age,smile,emotion,beauty
https://images.gofundme.com/NtRiutl__hfrrVH5gwGfWxLzEnI=/720x405/https://d2g8igdw686xgo.cloudfront.net/82905545_1726865256133151_r.jpeg,Female,65,47.876,"{'anger': 42.973, 'disgust': 1.845, 'fear': 0.044, 'happiness': 54.195, 'neutral': 0.854, 'sadness': 0.044, 'surprise': 0.044}","{'female_score': 40.073, 'male_score': 35.814}"
https://images.gofundme.com/-0DvzNOeG8cJBiQ18iQ6YvpCx-Q=/720x405/https://d2g8igdw686xgo.cloudfront.net/82898959_172684524384817_r.jpeg,Female,30,100.0,"{'anger': 0.0, 'disgust': 0.006, 'fear': 0.0, 'happiness': 99.993, 'neutral': 0.0, 'sadness': 0.0, 'surprise': 0.0}","{'female_score': 44.107, 'male_score': 37.932}"
https://images.gofundme.com/Y8qbELctqYnH7WGUlGPkCoQzOi8=/720x405/https://d2g8igdw686xgo.cloudfront.net/82855727_1726675243964798_r.jpeg,Female,20,100.0,"{'anger': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happiness': 100.0, 'neutral': 0.0, 'sadness': 0.0, 'surprise': 0.0}","{'female_score': 69.634, 'male_score': 65.953}"
https://images.gofundme.com/sv04I-dTLaqIIH2GUM92UOW9pBc=/720x405/https://d2g8igdw686xgo.cloudfront.net/82691309_1725985513524922_r.jpg,Female,39,99.978,"{'anger': 0.015, 'disgust': 0.015, 'fear': 0.213, 'happiness': 94.202, 'neutral': 3.535, 'sadness': 0.015, 'surprise': 2.003}","{'female_score': 46.951, 'male_score': 47.556}"
https://images.gofundme.com/O7EgTFsfsAzuLM4Y9siwBFUm3Sk=/720x405/https://d2g8igdw686xgo.cloudfront.net/82890921_1726798227894629_r.jpeg,Male,51,91.89,"{'anger': 0.008, 'disgust': 1.933, 'fear': 0.049, 'happiness': 97.96, 'neutral': 0.026, 'sadness': 0.008, 'surprise': 0.017}","{'female_score': 49.309, 'male_score': 47.203}"
https://images.gofundme.com/Jw1VIuvmw1vzau3ULuQw-xLTj0s=/720x405/https://d2g8igdw686xgo.cloudfront.net/82845303_1726623333484507_r.png,Female,45,0.047,"{'anger': 3.529, 'disgust': 0.291, 'fear': 0.154, 'happiness': 0.883, 'neutral': 92.094, 'sadness': 1.237, 'surprise': 1.812}","{'female_score': 59.295, 'male_score': 57.717}"
https://images.gofundme.com/Smb_8qxRUYgtJwg-ue-9kW9R6fE=/720x405/https://d2g8igdw686xgo.cloudfront.net/82116845_1723731249866925_r.jpeg,Female,38,97.337,"{'anger': 0.002, 'disgust': 0.005, 'fear': 0.002, 'happiness': 99.802, 'neutral': 0.005, 'sadness': 0.172, 'surprise': 0.013}","{'female_score': 49.698, 'male_score': 44.149}"
https://images.gofundme.com/a_-D0rR-7q2tJNfzV6A5u5aC6I8=/720x405/https://d2g8igdw686xgo.cloudfront.net/81459785_1721147405589212_r.jpeg,Male,22,0.91,"{'anger': 34.025, 'disgust': 46.007, 'fear': 14.784, 'happiness': 1.171, 'neutral': 0.469, 'sadness': 2.288, 'surprise': 1.255}","{'female_score': 46.562, 'male_score': 47.796}"
https://images.gofundme.com/U3nEMAaHdAgUugY1CUfq8tR1RB4=/720x405/https://d2g8igdw686xgo.cloudfront.net/82359631_1724693083241466_r.jpg,Male,35,84.083,"{'anger': 0.014, 'disgust': 0.0, 'fear': 0.001, 'happiness': 99.985, 'neutral': 0.0, 'sadness': 0.0, 'surprise': 0.0}","{'female_score': 42.565, 'male_score': 35.462}"
https://images.gofundme.com/B1L18t2uVG5xkAUDtfeNraosClg=/720x405/https://d2g8igdw686xgo.cloudfront.net/81378467_1720819708563274_r.png,Male,32,0.782,"{'anger': 24.367, 'disgust': 2.51, 'fear': 0.11, 'happiness': 0.11, 'neutral': 70.075, 'sadness': 0.189, 'surprise': 2.638}","{'female_score': 58.771, 'male_score': 59.723}"
https://images.gofundme.com/OB7ZrnA2WdMLfLY0gw2U7gOg2Tw=/720x405/https://d2g8igdw686xgo.cloudfront.net/82773809_1726422544701976_r.jpeg,Female,50,0.262,"{'anger': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happiness': 0.033, 'neutral': 99.964, 'sadness': 0.0, 'surprise': 0.002}","{'female_score': 39.209, 'male_score': 36.429}"
https://images.gofundme.com/UckVgcgB0ijC4zz3GyIR7crgxrs=/720x405/https://d2g8igdw686xgo.cloudfront.net/81604931_1721702156400862_r.jpeg,Male,3,0.273,"{'anger': 0.001, 'disgust': 0.016, 'fear': 0.001, 'happiness': 0.001, 'neutral': 0.403, 'sadness': 99.546, 'surprise': 0.032}","{'female_score': 55.531, 'male_score': 54.346}"
https://images.gofundme.com/bP2Qt0FMgtEcSmprbI_7t9AMFeg=/720x405/https://d2g8igdw686xgo.cloudfront.net/80989007_1719282614821294_r.png,Male,50,84.396,"{'anger': 0.585, 'disgust': 5.874, 'fear': 0.221, 'happiness': 1.289, 'neutral': 0.147, 'sadness': 91.326, 'surprise': 0.558}","{'female_score': 69.708, 'male_score': 68.922}"
https://images.gofundme.com/4lmz-E2cwxOdk-aMTUPJWe6mQIQ=/720x405/https://d2g8igdw686xgo.cloudfront.net/81309811_1720563646271303_r.png,Female,34,99.999,"{'anger': 0.0, 'disgust': 0.001, 'fear': 0.0, 'happiness': 99.998, 'neutral': 0.0, 'sadness': 0.0, 'surprise': 0.0}","{'female_score': 69.634, 'male_score': 65.868}"
https://images.gofundme.com/epRs4zVE0dqQeSPKoEkrrPuVqn8=/720x405/https://d2g8igdw686xgo.cloudfront.net/82650745_1725820308630642_r.jpeg,Male,69,55.822,"{'anger': 0.0, 'disgust': 0.252, 'fear': 0.0, 'happiness': 99.73, 'neutral': 0.017, 'sadness': 0.0, 'surprise': 0.001}","{'female_score': 58.93, 'male_score': 58.739}"
